sep=,

File creation date: 20/02/2016
ANNEX II (CosIng 2),Last update: 23/06/2015
LIST OF SUBSTANCES PROHIBITED IN COSMETIC PRODUCTS

Substance identification

Reference Number,Chemical name / INN,CAS Number,EC Number,Regulation,Regulated By,Other Directives/Regulations,SCCS opinions,Chemical/IUPAC Name,Identified INGREDIENTS or substances e.g.,CMR,Update date
11,"Aconitum napellus L. (leaves, roots and galenical preparations)","84603-50-9","283-252-6","(EC) No 1223/2009","76/768/EEC","","","","","",15/10/2010
12,"Aconitine (principal alkaloid of Aconitum napellus L.) and its salts","302-27-2","206-121-7","(EC) No 1223/2009","76/768/EEC","","","Aconitane-3,8,13,14,15-pentol, 20-ethyl-1,6,16-trimethoxy-4-(methoxymethyl)-, 8-acetate 14-benzoate, 
(1alpha,3alpha,6alpha,14alpha,15alpha,16beta)- 
","","",15/10/2010
13,"Adonis vernalis L. and its preparations","84649-73-0","283-458-6","(EC) No 1223/2009","76/768/EEC","","","","","",15/10/2010
14,"Epinephrine (INN)","51-43-4","200-098-7","(EC) No 1223/2009","76/768/EEC","","","Adrenaline; Benzyl alcohol, 3,4-dihydroxy-alpha-((methylamino)methyl)-, (-)- 

","","",15/10/2010
15,"Rauwolfia serpentia L., alkaloids and their salts","90106-13-1","290-234-1","(EC) No 1223/2009","76/768/EEC","","","","RAUWOLFIA SERPENTINA EXTRACT","",17/10/2010
16,"Alkyne alcohols, their esters, ethers and salts","-","- ","(EC) No 1223/2009","76/768/EEC","","1023/06-Opinion on Clarifications to SCCNFP/0392/00 An initial List of Perfumery Materials which must not form part of Cosmetic Products except subject to the Restrictions and Conditions laid down","","(*)3-Butyn-1-ol; 2-Hydroxyethylacetylene; 3-Butenyl alcohol;(*)Propargyl alcohol; Acetylene carbinol; Propynyl alcohol; Ethynyl carbinol; 2-Propyn-1-ol;TETRAMETHYL DECYNEDIOL","",17/10/2010
17,"Isoprenaline (INN)","7683-59-2","231-687-7","(EC) No 1223/2009","76/768/EEC","","","1,2-Benzenediol, 4-(1-hydroxy-2-((1-methylethyl)amino)ethyl)-","","",15/10/2010
18,"Allyl isothiocyanate","57-06-7","200-309-2","(EC) No 1223/2009","76/768/EEC","","","","","",15/10/2010
19,"Alloclamide (INN) and its salts","5486-77-1","-","(EC) No 1223/2009","76/768/EEC","","","","(*)Alloclamide hydrochloride; Benzamide, 2-allyloxy-4-chloro-N-(2-(diethylamino)ethyl)-,  hydrochloride ","",17/10/2010
20,"Nalorphine (INN), its salts and ethers","62-67-9","200-546-1","(EC) No 1223/2009","76/768/EEC","","","","(*)Morphinan-3,6-diol, 7,8-didehydro-4,5-epoxy-17-(2-propenyl)-, (5alpha,6alpha)-, (R-(R*,R*))-2,3-dihydroxybutanedioate (1:1) (salt)  ;(*)Nalorphine;(*)Nalorphine hydrobromide; Morphinan-3,6-alpha-diol, 17-allyl-7,8-didehydro-4,5-alpha-epoxy-, hydrobromide   ;(*)Nalorphine hydrochloride;  Morphinan-3,6-alpha-diol, 17-allyl-7,8-didehydro-4,5-alpha- epoxy-, hydrochloride; N-Allylnormorphine hydrochloride ","",17/10/2010
21,"Sympathicomimetic amines acting on the central nervous system: any substance contained in the first list of medicaments which are subject to medical prescription and referred to in Resolution AP (69) 2 of the Council of Europe","300-62-9","206-096-2","(EC) No 1223/2009","76/768/EEC","","","","(*)3-(2-aminopropyl)phenol; alpha-Methyl-m-tyramine  ;(*)adrenalone;(*)Adrenone hydrochloride; [2-(3,4-dihydroxyphenyl)-2-oxoethyl]methylammonium chloride;(*)alpha-Methylphenethylamine;(*)amezinium metilsulfate;(*)amfecloral; Amphecloral [USAN];(*)amfepentorex;(*)amfepramone;(*)amfetamine ;(*)aminorex;(*)Amphetamine sulphate [USP];(*)Angiotensinamide;(*)arbutamine;(*)bambuterol;(*)benzfetamine;(*)Bitolterol mesylate [USAN];(*)broxaterol;(*)Broxaterol hydrochloride; 3-Bromo-alpha-(((1,1-dimethylethyl)amino)methyl)isoxazole-5-methanol mnohydrochloride  ;(*)buphenine;(*)carbuterol;(*)Carbuterol hydrochloride [USAN];(*)chlorphentermine ;(*)clenbuterol;(*)cloforex;(*)clominorex;(*)clonazoline;(*)clorprenaline;(*)Clorprenaline hydrochloride anhydrous;(*)Clorprenaline hydrochloride [USAN:JAN];(*)denopamine;(*)dexamfetamine;(*)dexamfetamine; dextroamphetamine [USAN];Dextropropoxyphene (INN);(*)dimetamfetamine;(*)dimetofrine;(*)Dimetofrine hydrochloride; 4-Hydroxy-3,5-dimethoxy-α-[(methylamino)methyl]benzyl alcohol hydrochloride;(*)diphenoxylate;(*)Dipivefrin hydrochloride [USAN:JAN];(*)dipivefrine; Dipivefrin [USAN] ;(*)DL-aminomethyl-3-hydroxybenzyl alcohol hydrochloride;(*)DL-Phenylephrine hydrochloride ;(*)dobutamine ;(*)Dobutamine hydrobromide;(*)Dobutamine hydrochloride;(*)Dobutamine hydrochloride [USAN:BAN:JAN];(*)docarpamine;(*)dopamine;(*)Dopamine hydrochloride [USAN:JAN] ;(*)dopexamine;(*)Dopexamine hydrochloride [USAN:BAN];(*)doxapram;(*)Doxapram hydrochloride anhydrous; 1-ethyl-4-(2-morpholinoethyl)-3,3-diphenylpyrrolidin-2-one monohydrochloride;(*)Doxapram hydrochloride [USAN:JAN];(*)etafedrine;(*)Etafedrine hydrochloride [USAN];(*)Etafedrine; [R-(R*,S*)]-α-[1-(ethylmethylamino)ethyl]benzyl alcohol;(*)Ethylnorepinephrine hydrochloride;(*)Ethylnorepinephrine; Ethylnoradrenaline;(*)etifelmine;(*)etilamfetamine;(*)etilefrine;(*)Etilefrine pivalate hydrochloride;(*)Etilfelmin hydrochloride;(*)fenbutrazate;(*)fencamfamin;(*)Fencamfamin hydrochloride;(*)Fenethylline hydrochloride [USAN];(*)fenetylline;(*)fenfluramine;(*)Fenfluramine hydrochloride [USAN];(*)fenmetramide;(*)fenoterol;(*)Fenoterol hydrobromide  ;(*)fenoxazoline;(*)Fenoxazoline hydrochloride; 2-(2-Isopropylphenoxymethyl)-2-imidazoline hydrochloride  ;(*)formoterol;(*)gepefrine;(*)hexoprenaline;(*)hydroxyamfetamine;(*)ibopamine;(*)indanazoline;(*)Indanazoline hydrochloride ;(*)Indanazoline hydrochloride; N-(2,3-dihydro-1H-inden-4-yl)-4,5-dihydro-1H-imidazol-2-amine monohydrochloride ;(*)isoetarine;(*)Isoetharine mesylate [USAN:BAN];(*)Isometheptene mucate; Galactaric acid, compound with N,1,5-trimethylhex-4-en-1-ylamine (1:2) ;(*)isoxsuprine;(*)Isoxsuprine hydrochloride [USAN:JAN];(*)levamfetamine;(*)Levonordefrin [USAN];(*)mabuterol;(*)meclofenoxate;(*)Meclofenoxate hydrochloride;(*)mephentermine;(*)Mephentermine sulphate;(*)metamfetamine;(*)Metaproterenol sulfate [USAN];(*)metaraminol;(*)Metaraminol bitartrate [USAN:JAN];(*)methoxamine;(*)Methoxamine hydrochloride [JAN];(*)methoxyphenamine;(*)Methoxyphenamine hydrochloride [JAN] ;(*)Methylephedrine [BAN];Methylphenidate (INN) and its salts;(*)midodrine;(*)Midodrine hydrochloride [USAN:JAN];(*)Midodrine hydrochloride [USAN];(*)N-(2,3-dihydro-1H-inden-4-yl)-4,5-dihydro-1H-imidazol-2-amine mononitrate;(*)norfenefrine;(*)Norfenefrine hydrochloride;(*)octopamine;(*)orciprenaline;(*)ortetamine;(*)Oxedrine [BAN] ;(*)oxilofrine;(*)oxymetazoline;(*)Oxymetazoline hydrochloride [USAN:JAN];(*)p-Hydroxyamphetamine; 4-(2-Aminopropyl)phenol;(*)pentorex;(*)Phenatine; Nicotinamide, N-(alpha-methylphenethyl)- ;(*)phendimetrazine;(*)Phendimetrazine hydrochloride; Morpholine, 3,4-dimethyl-2-phenyl-, hydrochloride, (+-)-  ;(*)Phenethylamine, N-ethyl-alpha-methyl-, hydrochloride;(*)phenmetrazine;(*)Phenmetrazine hydrochloride [USAN];(*)phentermine;(*)Phentermine hydrochloride [USAN] ;(*)phenylephrine;(*)Phenylephrine hydrochloride [USAN:JAN];(*)phenylpropanolamine;(*)Phenylpropanolamine hydrochloride [USAN:INN:BAN] ;(*)pholedrine;(*)Pholedrine sulfate  ;(*)pipradrol;(*)pirbuterol;(*)Pirbuterol acetate [USAN];(*)Pirbuterol hydrochloride [USAN:JAN];(*)prednazoline;(*)prenalterol;(*)Prenalterol hydrochloride [USAN];(*)procaterol;(*)Procaterol hydrochloride;(*)Procaterol; 2(1H)-Quinolinone, 8-hydroxy-5-(1-hydroxy-2-((1-methylethyl)amino)butyl)-  ;(*)Propoxyphene hydrochloride [USAN] ;(*)protokylol;(*)Protokylol hydrochloride;(*)pseudoephedrine;(*)reproterol;(*)Reproterol hydrochloride [USAN];(*)rimiterol;(*)Rimiterol [INN:BAN] ;(*)ritodrine;(*)Salbutamol ;(*)salbutamol; Albuterol [USAN];(*)salmeterol ;(*)terbutaline;(*)Terbutaline sulfate [USAN:JAN] ;(*)Tonus-Forte; Benzenemethanol, alpha-((ethylamino)methyl)-3-hydroxy-, hydrochloride  ;(*)tramazoline;(*)Tramazoline hydrochloride [USAN:JAN];(*)tretoquinol;(*)Tretoquinol l-form hydrochloride; (S)-1,2,3,4-tetrahydro-6,7-dihydroxy-1-(3,4,5-trimethoxybenzyl)isoquinolinium chloride;(*)tulobuterol;(*)Tulobuterol hydrochloride;(*)Tymazoline [BAN] ;(*)xamoterol","",09/03/2011
22,"Aniline, its salts and its halogenated and sulphonated derivatives","62-53-3 ","200-539-3 ","(EC) No 1223/2009","76/768/EEC","","","","(*)4,4'-Methylene bis(2-chloroaniline) and its salts; 2,2'-Dichloro-4,4'-methylenedianiline and its salts  ;(*)4-Chloroaniline;(*)Aniline","",17/10/2010
23,"Betoxycaine (INN) and its salts","3818-62-0","-","(EC) No 1223/2009","76/768/EEC","","","Benzoic acid, 3-amino-4-butoxy-, 2-(2-(diethylamino)ethoxy)ethyl ester 
","","",17/10/2010
24,"Zoxazolamine (INN)","61-80-3","200-519-4","(EC) No 1223/2009","76/768/EEC","","","","","",17/10/2010
25,"Procainamide (INN), its salts and derivatives","51-06-9","200-078-8","(EC) No 1223/2009","76/768/EEC","","","","(*)Procainamide hydrochloride; Benzamide, 4-amino-N-(2-(diethylamino)ethyl)-, hydrochloride (1:1)","",17/10/2010
26,"Benzidine","92-87-5","202-199-1","(EC) No 1223/2009","76/768/EEC","","","","","Carcinogenic Cat. 1A (C=>0.01%)  ",20/10/2010
27,"Tuaminoheptane (INN), its isomers and salts","123-82-0","204-655-5","(EC) No 1223/2009","76/768/EEC","","","","(*)(1-Methylhexyl)ammonium sulphate;(*)Tuamine hydrochloride; Hexylamin, 2-methyl-, hydrochloride;(*)Tuaminoheptane sulfate; Bis[(1-methylhexyl)ammonium] sulphate; Hexylamine, 1-methyl-, sulfate (2:1)","",17/10/2010
28,"Octodrine (INN) and its salts","543-82-8","208-851-1","(EC) No 1223/2009","76/768/EEC","","","(1)-1,5-Dimethylhexylamine; 2-Heptanamine, 6-methyl- 
 
","","",17/10/2010
29,"2 -Amino-1,2-bis(4-methoxyphenyl)ethanol and its salts","530-34-7","-","(EC) No 1223/2009","82/368/EEC","","","Evadol hydrochloride; Benzeneethanol, beta-amino-4-methoxy-alpha-(4-methoxyphenyl)-, hydrochloride ","","",17/10/2010
30,"1,3 -Dimethylpentylamine and its salts","105-41-9","203-296-1","(EC) No 1223/2009","76/768/EEC","","","","","",15/10/2010
31,"4 -Aminosalicylic acid and its salts","65-49-6","200-613-5","(EC) No 1223/2009","76/768/EEC","","","","(*)Aminosalicylate calcium;  Benzoic acid, 4-amino-2-hydroxy-, calcium salt (2:1)  ;(*)Aminosalicylate potassium;(*)Aminosalicylate sodium anhydrous; Sodium 4-aminosalicylate;(*)Aminosalicylate sodium; Benzoic acid, 4-amino-2-hydroxy-, monosodium salt, dihydrate    ","",15/10/2010
32,"Toluidines, their isomers, salts and halogenated and sulphonated derivatives","26915-12-8","248-105-2","(EC) No 1223/2009","76/768/EEC","","","","(*)2-Toluidine; o-toluidine; 2-Methylaniline; 2-Methylbenzamine; 2-aminotoluene;(*)p-Toluidine; 4-Aminotoluene;(*)Toluidine; Benzenamine, ar-methyl","",17/10/2010
33,"Xylidines, their isomers, salts and halogenated and sulphonated derivatives","1300-73-8 ","215-091-4 ","(EC) No 1223/2009","76/768/EEC","","","","(*)2,4-Xylidine, hydrochloride;(*)2,4-Xylidine;  2,4-Dimethylaniline; m-Xylidine; Benzenamine, 2,4-dimethyl-    ;(*)2,5-Xylidine, hydrochloride;(*)2,5-Xylidine; Benzenamine, 2,5-dimethyl-  ;(*)2,6-Xylidine, hydrochloride;(*)2,6-Xylidine; 2,6-Dimethylaniline; o-Xylidine; Benzenamine, 2,6-dimethyl-    ;(*)Xylidine; Benzenamine, ar,ar-dimethyl- ","",17/10/2010
34,"Imperatorin (9 -(3-methylbut-2-enyloxy)furo[3,2-g]chromen-7-one)","482-44-0","207-581-1","(EC) No 1223/2009","82/368/EEC","","0942/05-Opinion on Furocoumarins in cosmetic products","","","",15/10/2010
35,"Ammi majus L. and its galenical preparations","90320-46-0","291-072-4","(EC) No 1223/2009","76/768/EEC","","","","AMMI MAJUS EXTRACT","",17/10/2010
36,"2,3 -Dichloro-2-methylbutane","507-45-9","-","(EC) No 1223/2009","76/768/EEC","","","Amylene dichloride; Butene, 2,3-dichloro-2-methyl- 
","","",15/10/2010
37,"Substances with androgenic effect","","","(EC) No 1223/2009","76/768/EEC","","","","(*)androstanolone; Stanolone [BAN];(*)boldenone;(*)cloxotestosterone;CORNYEABACTERIUM LIPOPHILICUS/PRASTERONE FERMENT FILTRATE EXTRACT;(*)fluoxymesterone;(*)mesterolone;(*)metandienone;(*)methyltestosterone;(*)mibolerone;(*)norethandrolone;(*)Normethandrolone; Normethandrone; 17-beta-hydroxy-17-α-methyloestr-4-en-3-one;(*)oxandrolone;(*)oxymesterone;(*)oxymetholone;(*)penmesterol;PRASTERONE;(*)stanozolol;(*)Stanozolol (1'H form); 1'H-Androstano(3,2-c)pyrazol-17-ol, 17-methyl-, (5-alpha,17-beta)-  ;TESTOSTERONE;(*)tiomesterone","",15/10/2010
38,"Anthracene oil","120-12-7","204-371-1","(EC) No 1223/2009","76/768/EEC","","","","(*)Anthracene oil, acid ext.;(*)Distillates (coal tar);(*)Distillates (coal tar), heavy oils;(*)Distillates (coal tar), heavy oils, pyrene fraction;(*)Distillates (coal tar), pitch;(*)Distillates (coal tar), pitch, heavy oils;(*)Distillates (coal tar), pitch, pyrene fraction;(*)Distillates (coal tar), upper;(*)Phenanthrene, distn. residues","Carcinogenic Cat. 1B  ",17/10/2010
39,"Antibiotics","","","(EC) No 1223/2009","90/121/EEC","","1992/97-Opinion concerning Tyrothricin and salts; 3,4',5-Tribromosalicylanilide","","","",17/10/2010
40,"Antimony and its compound","7440-36-0","231-146-5","(EC) No 1223/2009","76/768/EEC","","","","ANTIMONY POTASSIUM TARTRATE;(*)Diantimony trioxide; antimony trioxide","",17/10/2010
41,"Apocynum cannabium L. and its preparations","84603-51-0","283-253-1","(EC) No 1223/2009","76/768/EEC","","","","APOCYNUM CANNABINUM ROOT EXTRACT","",15/10/2010
42,"Apomorphine ((R) -5,6,6a,7-tetrahydro-6-methyl-4H-dibenzo[de,g]quinoline-10,11-diol)) and its salts","58-00-4","200-360-0","(EC) No 1223/2009","82/368/EEC","","","","(*)apomorphine;(*)Apomorphine hydrochloride; 4H-Dibenzo(de,g)quinoline-10,11-diol, 5,6,6a,7-tetrahydro-6-methyl-, hydrochloride (1:1), (6aR)-  ;(*)Apomorphine hydrochloride; 4H-Dibenzo(de,g)quinoline-10,11-diol, 5,6,6a,7-tetrahydro-6-methyl-, hydrochloride, hydrate (2:1), (6aR)-   ","",17/10/2010
43,"Arsenic and its compounds","7440-38-2","231-148-6 ","(EC) No 1223/2009","76/768/EEC","","","","(*)Arsenic acid and its salts;(*)Diarsenic pentaoxide;(*)Diarsenic trioxide; arsenic trioxide;(*)Triethyl arsenate","",07/01/2011
44,"Atropa belladonna L. and its preparations","8007-93-0","232-365-9","(EC) No 1223/2009","76/768/EEC","","","","","",15/10/2010
45,"Atropine, its salts and derivatives","51-55-8","200-104-8","(EC) No 1223/2009","76/768/EEC","","","","","",15/10/2010
46,"Barium salts, with the exception of barium sulphide under the conditions laid down in Annex III and of barium sulfate, lakes, salts and pigments prepared from the colouring agents when listed in Annex IV","","","(EC) No 1223/2009","83/191/EEC","","","","BARIUM CHLORIDE;BARIUM GLUCONATE;BARIUM HEXAFERRITE","",17/10/2010
