sep=,

File creation date: 20/02/2016
Annex III,Last update: 05/08/2015
LIST OF SUBSTANCES WHICH COSMETIC PRODUCTS MUST NOT CONTAIN EXCEPT SUBJECT TO THE RESTRICTIONS LAID DOWN

Substance identification,Restrictions

Reference number,Chemical name / INN,Name of Common Ingredients Glossary,CAS Number,EC Number,"Product Type, body parts",Maximum concentration in ready for use preparation,Other,Wording of conditions of use and warnings,Regulation,Regulated By,Other Directives/Regulations,SCCS opinions,Chemical/IUPAC Name,Identified INGREDIENTS or substances e.g.,CMR,Update date
8b,"p - Phenylene-diamine and its salts","P-PHENYLENEDIAMINE; P-PHENYLENEDIAMINE HCL; P-PHENYLENEDIAMINE SULPHATE","106-50-3 / 624-18-0 / 16245-77-5","203-404-7 / 210-834-9 / 240-357-1","Products intended for colouring eyelashes","","After mixing under oxidative conditions the maximum concentration applied to eyelashes must not exceed 2 % calculated as free base. For professional use only.","To be printed on the label: The mixing ratio. “For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: — has a rash on the face or sensitive, irritated and damaged scalp, — has experienced any reaction after colouring hair or eyelashes, — has experienced a reaction to a temporary ‘black henna’ tattoo in the past. Rinse eyes immediately if product comes into contact with them. Contains phenylenediamines. Wear suitable gloves.” ’","(EC) No 1197/2013","","","0989/06-Opinion on p-Phenylenediamine;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1311/10-Opinion on reaction products of oxidative hair dye ingredients formed during hair dyeing processes;0129/99-Opinion concerning p-Phenylenediamine","p- Phenylene-diamine and its salts","","",12/02/2014
8,"N -substituted derivatives of p- Phenylenediamine and their salts; N- substituted derivatives of o-Phenylenediamine (1 ), with exception of those derivatives listed elsewhere in this Annex and under reference numbers 1309, 1311, and 1312 in Annex II","","","","Hair dye substance in oxidative hair dye products","(a) General use (b) Professional use  For (a) and (b): After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 3 % calculated as free base","(1 ) These substances may be used singly or in combination provided that the sum of the ratios of the levels of each of them in the cosmetic product expressed with reference to the maximum level authorised for each of them does not exceed 1.’","(a) To be printed on the label: The mixing ratio. “ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past. Contains phenylenediamines. Do not use to dye eyelashes or eyebrows” (b) To be printed on the label: The mixing ratio. “For professional use only Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past. Contains phenylenediamines. Wear suitable gloves”","(EC) No 344/2013","","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0720/03-Updated Recommended Strategy for Testing Hair Dyes for Their Potential Genotoxicity/Mutagenicity/Carcinogenicity;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;0989/06-Opinion on p-Phenylenediamine;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;0059/98-Foreseeable use of hair dyes;0129/99-Opinion concerning p-Phenylenediamine","","","",17/06/2014
9a,"Toluene -2,5-diamine  Toluene-2,5-diamine sulphate ","","95-70-5 / 615-50-9","202-442-1 / 210-431-8","Hair dye substance in oxidative hair dye products (a) General use (b) Professional use For (a) and (b): After mixing under oxidative conditions the maximum concentration to hair must not exceed 4% calculated as free base.","","(a) and (b) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 4% calculated as free base","(a)  Hair colorants can cause severe allergic reactions.  Read and follow instructions.  This product is not intended for use on persons under the age of 16.  Temporary black henna tattoos may increase your risk of allergy.  Do not colour your hair if:   - you have a rash on your face or sensitive, irritated and damaged scalp,  - you have ever experienced any reaction after colouring your hair,  - you have experienced a reaction to a temporay black henna tattoo in the past.  Contains phenylenediamines (toluenediamines). Do not use to dye eyelashes or eyebrows. The mixing ratio is printed on the label  (b) For professional use only   Hair colorants can cause severe allergic reactions.  Read and follow instructions.  This product is not intended for use on persons under the age of 16.  Temporary black henna tattoos may increase your risk of allergy.  Do not colour your hair if:  - you have a rash on your face or sensitive, irritated and damaged scalp,  - you have ever experienced any reaction after colouring your hair,  - you have experienced a reaction to a temporay black henna tattoo in the past.  Contains phenylenediamines (toluenediamines). Wear suitable gloves. The mixing ratio is printed on the label  ","(EC) No 344/2013","","","1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1084/07-Opinion on Toluene-2,5-diamine","","","",16/06/2014
9,"Methylphenylenediamines, their N -substituted derivatives and their salts (1) with the exception of the substance under reference number 9a in this annex and substances under reference numbers 364, 1310 and 1313 in Annex II","","","","Hair dye substance in oxidative hair dye products","(a) General use (b) Professional use For (a) and (b): After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 5 % calculated as free base","","(a) To be printed on the label: The mixing ratio. “ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past. Contains phenylenediamines (toluenediamines). Do not use to dye eyelashes or eyebrows.”  (b) To be printed on the label: The mixing ratio. “For professional use only Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past. Contains phenylenediamines (toluenediamines). Wear suitable gloves.”","(EC) No 344/2013","","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0697/03-Opinion concerning 2,6-Dihydroxyethylaminotoluene;0720/03-Updated Recommended Strategy for Testing Hair Dyes for Their Potential Genotoxicity/Mutagenicity/Carcinogenicity;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;0971/06-Updated Recommended Strategy for Testing Oxidative Hair Dye Substances for their Potential Mutagenicity/Genotoxicity;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1084/07-Opinion on Toluene-2,5-diamine","","","",17/06/2014
10,"Diaminophenols (1)","","","","Oxidising colouring agents for hair dyeing","10% (as free base)","(a) General use Not to be used on eyebrows (b) Professional use","(a) Can cause an allergic reaction Do not use to dye eyleashes or eyebrows (b) For professional use only Can cause an allergic reaction Wear suitable gloves ","(EC) No 1223/2009","","","","","","",17/10/2010
11,"Dichlorophen","DICHLOROPHEN","97-23-4","202-567-1","","0.5%","","Contains Dichlorophen","(EC) No 1223/2009","87/137/EEC","","","","DICHLOROPHENE","",04/11/2010
12,"Hydrogen peroxide, and other compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide","HYDROGEN PEROXIDE","7722-84-1","231-765-0","(a) Hair products (b) Skin products (c) Nail hardening products (d) Oral products, including mouth rinse, tooth paste and tooth whitening or bleaching products (e) Tooth whitening or bleaching products (f) Products intended for eyelashes","(a) 12% of H2O2 (40 volumes), present or released (b) 4% of H2O2, present or released (c) 2% of H2O2, present or released (d) ≤ 0,1 % of H 2O 2, present or released e) > 0,1 % ≤ 6 % of H2O2, present or released (f) 2 % of H 2O 2, present or released","(e) To be only sold to dental practitioners. For each cycle of use, first use by dental practitioners as defined under Directive 2005/36/EC (*) or under their direct supervision if an equivalent level of safety is ensured. Afterwards to be provided to the consumer to complete the cycle of use. Not to be used on a person under 18 years of age. (f) For professional use only","For (a) and (f): Wear suitable gloves For (a) (b) (c) and (e): Contains hydrogen peroxide. Avoid contact with eyes. Rinse immediately if product comes into contact with them. (e) Concentration of H 2O 2 present or released indicated in percentage. Not to be used on a person under 18 years of age. To be only sold to dental practitioners. For each cycle of use, the first use to be only done by dental practitioners or under their direct supervision if an equivalent level of safety is ensured. Afterwards to be provided to the consumer to complete the cycle of use. (f) To be printed on the label: “For professional use only. Avoid contact with eyes. Rinse eyes immediately if product comes into contact with them. Contains hydrogen peroxide.”","(EC) No 1197/2013","93/47/EEC","","0602/02-Opinion concerning Hydrogen (Carbamide, Zinc) Peroxide in Tooth Bleaching/Whitening Products;0844/04-Opinion on Hydrogen Peroxide in Tooth Whitening products;0974/06-Guidance document on Epidemiological and clinical studies on Tooth Whitening Products;1129/07-Opinion on Hydrogen peroxide, in its free form or when released, oral hygiene products;0058/98-Opinion of concerning Hydrogen (Carbamide) Peroxide in Tooth Whitening Products;0158/99-Opinion concerning Hydrogen Peroxide and Hydrogen Peroxide releasing Substances used in Oral Care Products;0200/99-Clarification on Hydrogen (Carbamide) peroxide in Tooth Whitening Products","","CALCIUM PEROXIDE;HYDROGEN PEROXIDE;MAGNESIUM PEROXIDE;PVP-HYDROGEN PEROXIDE;SODIUM CARBONATE PEROXIDE;SODIUM PERBORATE;STRONTIUM PEROXIDE;UREA PEROXIDE;ZINC PEROXIDE","",14/02/2014
13,"Formaldehyde (2)","FORMALDEHYDE","50-00-0","200-001-8","Nail hardening products","5 % (as formaldehyde)","For purposes other than inhibiting the development of microorganisms in the product. This purpose has to be apparent from the presentation of the product","Protect cuticles with grease or oil Contains formaldehyde (3)","(EC) No 1223/2009","82/368/EEC","","1538/14-Opinion on the safety of the use of formaldehyde in nailhardeners ","","FORMALDEHYDE","Carcinogenic Cat. 2 (when C=>1%)  ",10/06/2015
14,"Hydroquinone","HYDROQUINONE","123-31-9","204-617-8","Artificial nail systems ","0.02% (after mixing for use) ","Professional use "," - For professional use only  - Avoid skin contact  - Read directions for use carefully ","(EC) No 344/2013","2008/88/EC","","0486/01-Opinion on The Use of Benzoyl Peroxide (BPO), Hydroquinone (HQ), Hydroquinone methylether (MEHQ) in artificial nail systems;0059/98-Foreseeable use of hair dyes;0078/98-Opinion concerning Hydroquinone (1,4-Dihydroxybenzene) as a Hair Dye Constituent","","HYDROQUINONE","Carcinogenic Cat. 2  Mutagenic Cat. 2  ",14/05/2013
15a,"Potassium or sodium hydroxide","POTASSIUM HYDROXIDE / SODIUM HYDROXIDE","1310-58-3 / 1310-73-2","215-181-3 / 215-185-5","(a) Nail cuticle solvent (b) Hair straightener (c) pH adjuster for depilatories (d) Other uses as pH adjuster ","(a) 5% (5) (b)  1. 2% (5) 2. 4.5% (5) ","(b) 1. General use 2. Professional use (c) up to pH 12.7 (d) up to pH 11 ","(a) Contains alkali  Avoid contact with eyes  Can cause blindness  Keep out of reach of children (b) 1. Contains alkali Avoid contact with eyes  Can cause blindness  Keep out of reach of children 2. For professional use only  Avoid contact with eyes  Can cause blindness (c) Keep out of reach of children  Avoid contact with eyes ","(EC) No 1223/2009","96/41/EC","","1527/14-Opinion on Potassium hydroxide (KOH) as callosity softener/remover","","POTASSIUM HYDROXIDE;SODIUM HYDROXIDE","",12/06/2014
15b,"Lithium hydroxide","LITHIUM HYDROXIDE","1310-65-2","215-183-4","(a) Hair straightener (b) pH ajuster for depilatories (c) Other uses as pH ajuster (for rinse -off products only)  ","(a)  1. 2% (6) 2. 4.5% (6) ","(a) 1. General use 2. Professional use (b) pH < 12.7 (c) pH < 11","(a)  1. Contains alkali  Avoid contact with eyes  Can cause blindness  Keep out of reach of children 2. Avoid contact with eyes  Can cause blindness (b) Contains alkali  Keep out of reach of children  Avoid contact with eyes ","(EC) No 1223/2009","2002/34/EC","","0295/00-Opinion on Lithium Hydroxyde and Calcium Hydroxide","","LITHIUM HYDROXIDE","",17/10/2010
15c,"Calcium hydroxide","CALCIUM HYDROXIDE","1305-62-0","215-137-3","(a) Hair straighteners containing two components: calcium hydroxide and a guanidine salt (b) pH ajuster for depilatories (c) Other uses (e.g. pH adjuster, processing aid) ","(a) 7% (as calcium hydroxide) ","(b) pH < 12.7 (c) pH < 11 ","(a) Contains alkali Avoid contact with eyes  Keep out of reach of children  Can cause blindness (b) Contains alkali  Keep out of reach of children  Avoid contact with eyes ","(EC) No 1223/2009","2002/34/EC","","0295/00-Opinion on Lithium Hydroxyde and Calcium Hydroxide","","CALCIUM HYDROXIDE","",17/10/2010
16,"1 - Naphthalenol","1-NAPHTHOL","90-15-3","201-969-4","Hair dye substance in oxidative hair dye products","","After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2,0%","To be printed on the label: Hair colorants can cause severe allergic reactions.","658/2013/EU","","","","1- Naphthalenol","","",09/09/2013
16,"1 -Naphthol and its salts","1-NAPHTHOL","90-15-3","201-969-4","Hair dye substance in oxidative hair dye products","","After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1 % calculated as free base","Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past","(EC) No 344/2013","2009/134/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0720/03-Updated Recommended Strategy for Testing Hair Dyes for Their Potential Genotoxicity/Mutagenicity/Carcinogenicity;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;0971/06-Updated Recommended Strategy for Testing Oxidative Hair Dye Substances for their Potential Mutagenicity/Genotoxicity;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1123/07-Opinion on 1-Naphthol;0130/99-Opinion concerning 1-Naphthol","","1-NAPHTHOL;(*)Potassium naphtholate; 1-Naphthalenol, potassium salt (1:1) ","",14/05/2013
17,"Sodium nitrite","SODIUM NITRITE","7632-00-0","231-555-9","Rust inhibitor","0.2%","Not to be used with secondary and/or tertiary amines or other substances forming nitrosamines","","(EC) No 1223/2009","82/368/EEC","","","","SODIUM NITRITE","",17/10/2010
18,"Nitromethane","NITROMETHANE","75-52-5","200-876-6","Rust inhibitor","0.3%","","","(EC) No 1223/2009","82/368/EEC","","","","NITROMETHANE","",17/10/2010
19,"Moved or deleted","","","","","","","","(EC) No 1223/2009","","","","","","",17/10/2010
20,"Moved or deleted","","","","","","","","(EC) No 1223/2009","","","","","","",17/10/2010
21,"Cinchonan -9-ol, 6'-methoxy-, (8.alpha.,9R)- its salts","QUININE","130-95-0","205-003-2","(a) Hair rinse -off products (b) Hair leave-on products ","(a) 0.5% (as quinine base) (b) 0.2% (as quinine base) ","","","(EC) No 1223/2009","82/368/EEC","","","(8S,9R)-6'-Methoxycinchonan-9-ol 
","QUININE","",17/10/2010
22,"1,3 -benzenediol","RESORCINOL","108-46-3","203-585-2","(a) Hair dye substance in oxidative hair dye products (b) Products intended for colouring eyelashes (c) Hair lotions and shampoos","(c) 0,5%","(For (a) and (b):  After mixing under oxidative conditions the maximum concentration applied to hair or eyeslashes must not exceed 1,25 %  (b)  Professional use only ","(a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past. Contains resorcinol. Rinse hair well after application. Rinse eyes immediately if product comes into contact with them. Do not use to dye eyelashes or eyebrows.”  (b) To be printed on the label: The mixing ratio. “For professional use only. Contains resorcinol. This product can cause severe allergic reactions. Read and follow instructions.This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: — has a rash on the face or sensitive, irritated and damaged scalp, — has experienced any reaction after colouring hair or eyelashes, — has experienced a reaction to a temporary ‘black henna’ tattoo in the past. Rinse eyes immediately if product comes into contact with them.” (c) Contains resorcinol.’","(EC) No 1197/2013","2009/134/EC","","1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1117/07-Opinion on Resorcinol;1270/09-Opinion on Resorcinol","1,3-benzenediol","RESORCINOL","",10/02/2014
23,"(a) Alkali sulphides  (b) Alkaline earth sulphides","","","","(a) Depilatories  (b) Depilatories","(a) 2% (as sulphur) (b) 6% (as sulphur) ","pH<=12.7  ","(a) (b)  Keep out of reach of children  Avoid contact with eyes","(EC) No 1223/2009","82/368/EEC","","","","BARIUM SULFIDE;CALCIUM SULFIDE;LITHIUM SULFIDE;MAGNESIUM SULFIDE;POTASSIUM SULFIDE;SODIUM SULFIDE;STRONTIUM SULFIDE","",17/10/2010
24,"Water -soluble zinc salts with the exception of zinc 4-hydroxybenzenesulphonate (entry 25) and zinc pyrithione (entry 101 and Annex V, entry 8)","ZINC ACETATE / ZINC CHLORIDE / ZINC GLUCONATE / ZINC GLUTAMATE","-","-","","1% (as zinc)","","","(EC) No 1223/2009","82/368/EEC","","","","LACTOBACILLUS LAC/CALCIUM/PHOSPHOROUS/MAGNESIUM/ZINC FERMENT;LACTOBACILLUS/MILK/MANGANESE/ZINC FERMENT LYSATE;PORPHYRIDIUM/ZINC FERMENT;SACCHAROMYCES/ZINC FERMENT;SACCHAROMYCES/ZINC/IRON/GERMANIUM/COPPER/MAGNESIUM/SILICON FERMENT;SODIUM ZINC CETYL PHOSPHATE;SODIUM ZINC HISTIDINE DITHIOOCTANAMIDE;SODIUM ZINC TAURINE DITHIOOCTANAMIDE;ZINC ACETATE;ZINC ADENOSINE TRIPHOSPHATE;ZINC ASCORBATE;ZINC ASCORBATE HYDROXIDE;ZINC ASPARTATE;ZINC BORATE;ZINC CHLORIDE;ZINC CITRATE;ZINC COCETH SULFATE;ZINC COCO-SULFATE;ZINC CYSTEINATE;ZINC DIBUTYLDITHIOCARBAMATE;ZINC FORMALDEHYDE SULFOXYLATE;ZINC GLUCOHEPTONATE;ZINC GLUCONATE;ZINC GLUTAMATE;ZINC GLYCINATE;ZINC GLYCINATE SALICYLATE;ZINC HYDROLYZED COLLAGEN;ZINC LACTATE;ZINC MAGNESIUM ASPARTATE;ZINC NITRATE;ZINC PCA;ZINC PENTADECENE TRICARBOXYLATE;ZINC PICOLINATE;ZINC SALICYLATE;ZINC SULFATE;ZINC THIOSALICYLATE;ZINC UNDECYLENOYL HYDROLYZED WHEAT PROTEIN","",17/10/2010
25,"Zinc 4 -hydroxybenzene sulphonate","ZINC PHENOLSULFONATE","127-82-2","204-867-8","Deodorants, antiperspirants and astringent lotions","6% (as % of anhydrous substance)","","Avoid contact with eyes","(EC) No 1223/2009","82/368/EEC","","","","ZINC PHENOLSULFONATE","",17/10/2010
26,"Ammonium monofluorophosphate","AMMONIUM MONOFLUOROPHOSPHATE","20859-38-5 -- 66115-19-3","- -- -","Oral products","0,15 % calculated as F.  When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %","","Contains ammonium monofluorophosphate.  For any toothpaste with compounds containing fluorine in a concentration of 0,1 to 0,15 % calculated as F unless it is already labelled as contra -indicated for children (e.g. “for adult use only”) the following labelling is obligatory: “Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing.  In case of intake of fluoride from other sources consult a dentist or doctor.”","(EC) No 344/2013","2009/129/EC","","0653/03-Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years;0882/05-Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years;1214/09-Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years","","AMMONIUM MONOFLUOROPHOSPHATE","",14/05/2013
